price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
69299;Onn Google Tv Strem Fhd 8gb 1.5gb Ram Control Remoto De Voz;MLA352001;69299;7;new;2024-09-20T20:10:49.558Z;Córdoba;Córdoba;Argentina
149999;Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.a Generación Sin Fuente;MLA352001;149999;15;new;2025-03-20T20:02:54.627Z;Córdoba;Córdoba;Argentina
199900;Chromecast With Google Tv De Voz 4 Generación 4k 8gb;MLA352001;199900;232;new;2024-12-13T18:07:16.171Z;Adrogué;Buenos Aires;Argentina
144999;Google Chromecast 4k 4ta Generacion Streaming Control Remoto;MLA352001;144999;10;new;2024-12-27T17:45:39.168Z;San Cristóbal;Capital Federal;Argentina
129000;Xiaomi Mi Tv Streaming Stick Full Hd 8gb Con Control Remoto;MLA352001;129000;81;new;2025-01-28T20:51:45.121Z;Don torcuato;Buenos Aires;Argentina
75499;Xiaomi Mi Tv Stick 2a Gen 8gb Full Hd Mdz-24-aa;MLA352001;75499;58;new;2024-09-13T17:51:00.123Z;Córdoba;Córdoba;Argentina
286900;Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanc;MLA352001;286900;15;new;2025-03-20T16:31:39.517Z;Rosario;Santa Fe;Argentina
115499.0;Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.a Generación Sin Fuente;MLA352001;115499.0;15;new;2025-03-20T20:02:48.449Z;Córdoba;Córdoba;Argentina
199999.0;Streaming Tv Box Onn 4k Google Tv Control Remoto 8gb 2gb Ram;MLA352001;199999.0;13;new;2024-08-01T19:45:51.053Z;Castelar;Buenos Aires;Argentina
144999;Google Chromecast 4k 4ta Generacion Streaming Control Remoto;MLA352001;144999;10;new;2024-12-27T17:59:07.164Z;San Cristobal;Capital Federal;Argentina
144999;Chromecast Google Ga03131 Tv Hd Snow-smart Tv-control Remoto;MLA352001;144999;164;new;2024-08-28T14:57:52.919Z;Villa Urquiza;Capital Federal;Argentina
154999;Google Chromecast 4 4ta Generac Streaming Tv Box 4k 8gb 2gb;MLA352001;154999;34;new;2021-10-19T16:26:59.000Z;San Cristobal;Capital Federal;Argentina
83499;Onn 4k 2gen Google Tv 2023 8gb + 2 Gb Ram + Fuente + Remoto;MLA352001;83499;123;new;2024-09-18T11:43:55.983Z;Escobar;Buenos Aires;Argentina
219000;Google Tv Streamer 4k Blanco De Voz;MLA352001;219000;2;new;2025-03-20T16:21:01.917Z;General San Martín;Buenos Aires;Argentina
146000.88;Google Chromecast 4k 8gb Snow Control De Voz Ga01919-us 2gb;MLA352001;146000.88;56;new;2023-05-02T16:08:36.000Z;Caballito;Capital Federal;Argentina
98000;Smart Tv Onn Uhd Streaming 4k Desbloqueado Con Cargador;MLA352001;98000;5;new;2025-03-19T13:53:35.365Z;Villa Crespo;Capital Federal;Argentina
128283.18;Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro;MLA352001;128283.18;10;new;2025-03-11T19:04:04.920Z;Núñez;Capital Federal;Argentina
234101.15;Google Tv + Chromecast 4k Control De Voz 8gb Fuente 220v;MLA352001;234101.15;538;new;2022-04-01T18:22:58.000Z;Martin Coronado;Buenos Aires;Argentina
